rank,artist,album,label,year,review_text
37,Jon Hopkins,Immunity,Domino,Staff Lists: The Top 50 Albums of 2013," practiced self-hypnosis for a decade before he finally got it, right around the time he started on his fourth full-length, . The British electronic producer and composer’s output has always had a trancelike, meditative quality—from ’s gentle guitar tones to the horror-cinematic soundscapes of 2010’s (and, in between, his work with  and )—but it wasn’t until  that everything clicked into place for Hopkins both mentally and musically, almost like lock and key. The album even begins with the sound of Hopkins unlocking his studio door before settling into a beat that scuffs up his pristine ambience with a new intensity. The for  highlight  perhaps best demonstrates this. A kid skateboards smoothly through time and space, the camera focusing on the scene’s grit: his black eye and bandaged wrist, a flaming tire, a man on fire, abandoned townships. His constant forward motion is soothing to watch even as moments of unease keep it from being just another beautifully shot video. Between the piano interludes of “Breathe This Air” and labored breaths permeating the crunchy, simmering “Collider”, also lurches from pretty to pinprickly, taking the listener on a similarly fantastic journey through Hopkins' brilliant mind. —Harley Brown
"
36,Chvrches,The Bones of What You Believe,Glassnote,Staff Lists: The Top 50 Albums of 2013,"“I am gonna come for you with all that I have,” Lauren Mayberry sings on “Gun”, from Chvrches’ full-length debut. Such a forceful sentiment might sound overbearing if  wasn’t so insistently and so genuinely compassionate, if the synths didn’t sound so massively sparkly on “Tether”, if the choruses of “The Mother We Share” didn’t scale monumental heights. Before forming Chvrches, these three Glaswegians all had a jump on becoming jaded insiders: Iain Cook and Martin Doherty paid dues in Aerogramme and the Twilight Sad, respectively, and Mayberry, in addition to serving time in a twee-folk act, had studied music journalism. Yet, there was something refreshing and deeply moving about Chvrches in 2013. They wore their hearts on their sleeves and risked falling on their faces, but succeeds precisely because it sounds so musically and spiritually generous. These songs are far too ambitious to be mere comfort food, and the trio are too concerned about each and every one of you to care much about any particular trends or scenes. —Stephen M. DeusnerChvrches: "
38,Hundred Waters,The Moon Rang Like A Bell,OWSLA,Staff Lists: The 50 Best Albums of 2014,"It was already hard enough to classify Hundred Waters’ alchemy of exploratory electronics, conservatory-level chops, and folk earthiness and now we gotta throw ""arena rock"" into the mix. Their OWSLA debut  had a rollout you'd expect from a bankrolled band bent on world domination, spawning five singles, three gorgeous videos, ,, and a . Well, say what you will about Skrillex’s music, but as a label head, he’s not always looking for the big drop.Nothing about  ever felt like a push for the breakout hit that would turn Hundred Waters into the ""new tUnE-yArDs"" or Dirty Projectors or any of the other indie A-listers they were compared to last time out. Instead, they were gentle nudges, reminders of an album that requires patience due to its unusual way of establishing a relationship with the listener. The band shares its most intimate secrets first: you immediately hear Nicole Miglis completely exposed with an a cappella prayer, there’s conspiratory laughter, a scrambled Skype conversation with her partner on ""Broken Blue"", police sirens ringing outside their downtown Los Angeles apartment during the mesmerizing gospel of ""Murmurs"". Once they’ve earned your trust, Hundred Waters makes dazzling third, 12th, and 25th impressions, as the confluence of their astounding technical proficiency and boundless sonic scope somehow manages to be subtle.  is a bold, confident album that still plays coy—""I wish you would see what I see,"" Miglis sings on ""Murmurs"". But first, she asks to be shown love and if you oblige, Hundred Waters show you their entire world. —Ian Cohen
"
37,Perfect Pussy,Say Yes to Love,Captured Tracks,Staff Lists: The 50 Best Albums of 2014,"At the poles of , two rhythms compete furiously. At one, you've got Garrett Koloski bringing up the drums, shifting tempos and hammering fills like he's escaping an oncoming firestorm. At the other, Meredith Graves pounds her voice into the ground. Between them, squalls of guitars and synthesizers fan each other's flames. No one makes it out in one piece.Graves' language takes patience to decode and it's worth it: Her lyrics are the key to sinking this record into your bones. ""I have a history of surrender,"" she declares on ""Driver"". ""I eat stress and I shit blood/ And buddy, I'll tell you, it never gets better."" She runs down a list of lies, ""lies like I will be protected."" On ""Interference Fits"", she sings, ""I met my despair at midday light/ And it was amazing, and I almost cried"". comes with a question mark hanging invisibly at the end of its title, but its reluctance to embrace love unequivocally only strengthens its refusal to accept woundedness as a defining state. Graves sings like a person who's been hurt, again and again, from all angles in a country that systemically dehumanizes women, queers, and anyone else who doesn't play by the status quo. But she sings like she's found power in that hurt. She refuses defeat with every syllable.  is the sound of someone looking deep inside themselves and realizing what they thought was broken is actually a source of strength—and then making a whole lot of triumphant noise about it. —Sasha Geffen
"
36,Tinashe,Aquarius,RCA,Staff Lists: The 50 Best Albums of 2014,"The sort of slow, churning R&B popularized by Drake and adopted by scores of underground singers and producers around the globe finally delivers its first front-to-back great album with Tinashe’s . How did she get it so right? By taking cues from that aesthetic but not letting it define her. The record is submerged in beats that slur and slosh, with Tinashe’s breathy vocals never sinking too deep. This is a decidedly of-the-moment LP, but it succeeds the same way any good R&B album does: with generous songwriting and strong singing. ""2 On"", one of the finest singles of the year, is instructive in this sense—every part of the song is sung so distinctly that it feels like the choruses of a bunch of tracks were ripped away and fused together.It’s easy to let your head swim through , but Tinashe announces herself as its centerpiece throughout, from her slight falsetto on the slippery ""Feels Like Vegas"" to the '90s throwback belter ""Thug Cry"". And on an album this consistent, it’s fitting that she saves the best for track 16, the flickering piano ballad ""Bated Breath"", where she unleashes a series of runs on the phrase ""all alone"" that are as boldly emotional as any other diva’s.  is the muted thump of Soundcloud dreams, but so much more.  —Jordan Sargent
"
35,Shabazz Palaces,Lese Majesty,Sub Pop,Staff Lists: The 50 Best Albums of 2014," is Shabazz Palaces getting interstellar, a set of intricate, enigmatic, yet meaningful suites complete with an (initially) impenetrable multidimensional blueprint/map connecting it all in the liner notes. Beneath the visuals, the album contends with a strain of Afrofuturism that puts its faith in finding unities in contradictions and clarity in riddles (""I'm having my cake and I'm eating cake,"" ""facts stated to enhance what is pre-born,"" ""we try to unreproduce six tension intervals""), reconciling structure and formlessness, forethought and spontaneity. Attempting to transcend the physical yet being constantly aware of how that physicality is constantly being threatened is a hell of an undertaking—more apparent this year, though nothing new. Here the state is depicted in hip-hop revelation story ""...down 155th in the MCM Snorkel"" as ""Escaping the bleak, pursuing a feeling/ Pressure pushed them towards the instinct of brilliance."" Those unwary peers who lived through those same origins but shrug that brilliant instinct off are damned to the tune of meter-defying breaks and tactile, synthesized bass-church/musique concrète production that turns human language into primordial elements of cosmic influence. It's humbling stuff that urges you to dance but knows full well that, to do so, you'll need to relearn new and better steps. —Nate Patrin
"
34,Cloud Nothings,Here and Nowhere Else,Carpark / Mom & Pop,Staff Lists: The 50 Best Albums of 2014,"If 2012’s  was the moment where Dylan Baldi’s bedroom-project-turned-power-trio first flashed its surprisingly sharp teeth,  is the sound of Cloud Nothings gnawing on flesh and drawing blood, inflicting wounds both physical and psychic. This is an album that begins with a bruising rumble (""Now Hear In"") and then, over the course of a breathless eight songs and 32 minutes, just turns more feral and ferocious as it exposes the cruel irony of a relationship’s end: i.e., that it really just marks the start of a whole new round of head games and deceptions. Despite the album’s frenetic, intensifying momentum, the overall feeling is one of crippling dysfunction, best summed up by Baldi’s agitated, laryngitis-inducing howl on ""No Thoughts"" (""You don’t really seem to care/ And I don’t even talk about it""), where he effectively loses his shit over an ex’s inability to give a shit about him pretending to not give a shit. But remarkably, the more aggressive and unhinged Cloud Nothings get, the sharper Baldi’s melodic instincts become: In its first 100 seconds alone, the closing pop-punk pick-me-up ""I’m Not Part of Me"" swiftly cycles through two alternate verse/chorus pairings that could each handily support their own stand-alone song. Really, Cloud Nothings’ fourth album could not have been more appropriately titled:  is the most relentlessly single-minded, maniacally focussed indie rock album released this year—a break-up record pitched at breakneck speed, blurring the line between introspection and insanity. —Stuart Berman
"
35,Phosphorescent,Muchacho,Dead Oceans,Staff Lists: The Top 50 Albums of 2013,"The gatefold of  features a detail shot of a Nudie suit. The background is dark, and there’s a peacock framed by light purple flowers. It’s not nearly as colorful or garish as Gram Parsons’ iconic drug cornucopia pattern. This one’s unassuming, feasibly the sort of thing you could wear out of a Western clothing shop without looking like a cartoon cowboy. Matthew Houck is embracing his country roots, but he never plays them up to the point of honky tonk hucksterism. Fiddles, piano, pedal steel, even horseshoe-clopping percussion are all implemented on his new album, but they’re never the focal point. Houck’s band on  have chops, but they never show off. When Kyle Resnick plays his trumpet, the sound doesn’t blare—it’s nestled beneath Houck’s ragged, seemingly sleepy vocal. Everything’s tempered, supplemental, and gorgeously produced by John Agnello.is full of allegory, with lyrics about “the wounded master,” rolling away the stone, the shepherd, the lamb, and so on. These are reasonably common lyrical tropes in country and folk traditions, and Houck balances those moments with more familiarly contemporary imagery. On “Down to Go”, he sings about partying to numb the hurt, and all the while, he openly acknowledges the social stereotypes that come with being a heartbroken country balladeer. While his friends tell him he’ll write some great music about his heartache, he points out that he’s still hurting, “aching and ornery.” Over Ricky Jay Jackson’s looming pedal steel, he paints a picture that’s bruised and familiar. It makes sense why this album’s origin story—Houck's break up and trip to Mexico—is frequently referenced when  is discussed. The record's sentiments and backstory pair well, sort of like  and Justin Vernon’s Wisconsin cabin. —Evan Minsker
"
34,Forest Swords,Engravings,Tri Angle,Staff Lists: The Top 50 Albums of 2013,"No-one does atmosphere like Forest Swords. The Manchester producer excels at evoking shades and shadows, slippery feelings, and the yawning, life-sized chasm between doom and triumph. On his debut album , he fulfills the early promise of his 2010 EP, , by carving out a fully inhabitable world from such fertile matter. Throughout, the drums are slow and steady, observing time in an offhand yet hypnotizing manner. Pipes call out in celebration, and in warning. Guitar lines curl ominously. All criss-cross in what feels like a deeply meaningful yet undefinable way. Forest Swords is not interested in telling a story, it seems, but in making the listener an unquestionable part of it. Like its predecessor,  occupies nameless territory. One minute it sounds like a forgotten Eastern folk music, the next the soundtrack to a Leone western, and the next again like the future memories of music our children’s children will one day have. It’s this fluidity that is at the heart of the album’s power. Nameless, placeless, timeless:  rejects boundaries and scrabbles to unearth the subconscious instead. —Ruth Saxelby
"
33,Burial,Truant / Rough Sleeper,Hyperdub,Staff Lists: The Top 50 Albums of 2013,"Right as our year-end assessment was about to go live and the calendar year of 2013 gave way to 2014, a time when music writers, publicists, and editors are off-duty, the mysterious electronic music producer known as Burial slipped his latest release, , out into the world, with no press or forewarning, just beyond a Year-End list’s grasp. Ever since he emerged in 2005, the man known as William Emmanuel Bevan () has operated according to his own tenets. At the end of 2012, for instance, he released the staggering two-track, 25-minute “Truant/ Rough Sleeper”, which continued to resonate through this year. Comprised of crackling, forlorn, hoar-frosted etudes that faded together into a dream-logical suite, Burial’s acumen isolated these voices calling from a post- world and made them into something harrowing yet ultimately redemptive. You could hear Burial’s netherworld sound seep into the music of  as well as bigger names like Skrillex. And—if you listened closely—you could also hear Burial in the intermission music for Kanye West’s  tour. —Andy Beta"
32,DJ Koze,Amygdala,Pampa,Staff Lists: The Top 50 Albums of 2013,"For years DJ Koze has been a closely guarded secret, a savant of silly, machine-tooled funk. Following almost a decade of remixes and sporadic singles, the solo collection  blew his cover. A long, ink-smudged love letter to dance music, friends, and living gently, its excesses are charming: rhythms tumbling off one too many glasses of wine, fidgety synths too cavalier with scented candles. The lightly stepping ""La Duequesa"" features steel drums  swelling Motown strings. There's a weird-uncle vibe to the proceedings, from the preposterous art to the normally pompadoured-and-leather-jacketed Matthew Dear singing ""It's a serious world/ I'm a magical boy."" Later, another Dear track offers Koze acolytes a mantra: ""When I notice the world is falling apart/ I will run a bath."" For naught, though, as our meetings are now overrun, extra folding chairs required, sheet cake expenditures up 29%. It is Koze's fault, and he will be softly chided. —Andrew Gaerig
"
31,Autre Ne Veut,Anxiety,Mexican Summer / Software,Staff Lists: The Top 50 Albums of 2013,"2013 may very well stand as the year the word ""literally"" lost its meaning, or at least the year where it was redefined to include its misuse as a tool for melodramatic overstatements. Autre Ne Veut's  is a crashing, clanging, caterwauling expression of this sort of literally. It is music for literally feeling torn apart inside, for literally feeling like the world is collapsing. It is not safe; it is not proper; it is not tastefully reserved. It's very real and very raw. In a year in which blogs were littered with electronically tinged distortions of R&B and synthpop in a similar vein to Autre Ne Veut,  discarded the form's prevailing principle of slick prettiness for uninhibited, pure emotion. Sure, the results are melodramatic, but that's how big emotions are portrayed. You don't stand in front of the mirror and think ""someday I'm gonna die"" to yourself, as singer Arthur Ashin does on ""Gonna Die"" and not play it up a little, even if you totally mean it. You don't curl up in bed and whimper ""don't ever leave me alone"" into the phone with any sort of decorum.  is fists-clenched, teary-eyed catharsis, whether in the feedback screeches and false optimism of ""Counting"", the careening guitar riffs in the back of ""Ego Free Sex Free"", or the crescendoed crash of tour de force opener ""Play by Play"". The intensity is unrelenting, and the effect is staggeringly beautiful. There's literally nothing quite like it. —Kyle Kramer
"
33,Rich Gang,Tha Tour Part 1,Cash Money,Staff Lists: The 50 Best Albums of 2014,"Humans are complicated. Young Thug is complicated, Rich Homie Quan is complicated. These are two young black men who hail from Atlanta and rap about everything. It's not just that they cover a wide variety of subject matter that rotates on a song-to-song basis, but that every single song they make seems to touch on their entire spread of thoughts and emotions. In a matter of a seconds, a tender Rich Gang ballad can fill up with seething death threats, or a string of superficial boasts can flip to reveal a moment of absolute vulnerability. Sometimes, they massage these shifts subtly with melodic cues or vocal tics; sometimes, they move about through more traditional means of lyricism. In the middle of ""Hate I"", a track that is ostensibly about hating to fall in love with pussy, Quan blurts out ""I just wanna live"" and stretches the last two syllables across three bars. This should be enough to send chills up even the numbest of spines in this terrible world, where the right to be and stay alive is not always granted to young men of Quan’s complexion. But then the other Givenchy drops and his voice cracks and ""don’t give no fucks ’bout who I kill"" comes out of the speaker, and it’s hard to know what to feel other than still completely crushed. is Quan and Thug's first collaborative tape and it's the most complete project that either has been involved with to date. It's somber and hilarious and violent and loving and genius and ignorant and refined and sloppy and beautiful and hideous and human. It's everything that great rap music has always been, which is to say it's everything that is everything to those who create and consume it. —Andrew Nosnitsky
"
32,White Lung,Deep Fantasy,Domino,Staff Lists: The 50 Best Albums of 2014,"Those blitz speed black metal tremolos, the guitar that never ceases jabbering into every corner of the mix, Mish Way's hoarse roar: White Lung seemed to sprint screaming across the expanse of 2014. The songs on  move like gusts of wind stretching a sail to ripping point, and listening to the group triggers fight-or-flight feelings of exhilaration and panic. Slow down the blur, however, and you find a Chinese finger trap: These were alt-punk songs stitched together from hundreds of riffs, complicated solos, and sections burned for kindling while Mish Way hollered and gasped about rape culture, body dysmorphia, and life-or-death battles for human dignity. —Jayson Greene
"
31,Taylor Swift,1989,Big Machine,Staff Lists: The 50 Best Albums of 2014,"Even in its self-contradictions,  is generous: is there anything more riveting than a Type A person’s ""fuck it"" phase? Of course the grand acts of big city rebellion on Taylor Swift’s fifth album are hilariously PG: ""Oh yeah? You think I’m demure? Well how ‘bout I ?"" The entire premise—that  is Swift’s ""first official, documented pop album""—rests on a similarly crafty fallacy, that her catalog hasn’t been shaped by whip-smart pop instincts all along. It’s that patented humblebrag pantomime again: ""Little ol’ me? A pop star?""It’s so perfect, though—that Swift’s big-deal stylistic pivot is, in fact, utterly -transgressive. In reality,  isn’t such a departure from the glossier moments of : conversational but crisp, informed but not steered by Max Martin, yuppie in spite of a preoccupation with social hierarchy. Still, if Swift insists she is now a pop star, let it be known that she does ""pop star"" better than any of her peers, with the knowing passive-aggression of a student who’d rather quietly carry a group project than tell her classmates they’re doing it all wrong. This strategic coyness can be Swift’s most maddening quality, but on , she  it unlike ever before, popping the Chandon with a big ol’ wink for all the Crazy Bitches to clink to the douchebags’ toasts. She’s harnessed the power of her all-consuming self-awareness, investing in the meme economy with quivering poker-face, her returns matched only by Drake’s: if they hate, then let ‘em hate, and watch the ""basic bitch"" think pieces pile up. Is there any doubt she knew full well, on ""Blank Space"", how uncannily ""long list of ex-lovers"" sounded like ""lonely Starbucks lovers""?Those who accuse Swift of ironing out her narratives on  aren’t wrong: those efficiently personal details once stitched into her songwriting have been democratized. But it’s unrealistic to frame this as selling out. (Taylor Swift does not sell out. She sells more.) Maybe, instead, it’s the realization that obsessive mythologizing of past and future is way less fun than having tons of sex and carting your cat around New York City. To be clear:  Swift’s New York is not the city where you buy loosies from the corner bodega, and it is certainly not the city where police murdered Eric Garner in cold blood for allegedly selling them. Swift’s New York involves some tricky camera angles:  of the festive Rockefeller Center Christmas tree, the surrounding protest signs conveniently just out of frame. It would be silly to consider her penthouse view as anything other than what it is: a commercial. But, whoopsy daisy! Wouldn’t you know it? She’s better than everybody at .  —Meaghan Garvey"
30,Deerhunter,Fading Frontier,4AD,Staff Lists: The 50 Best Albums of 2015,"Bradford Cox has called himself a terrorist, received oral sex from a stranger while singing, demanded the need for more ugly people in music, and claimed that as a homosexual, his only job is to sodomize mediocrity. Gentle Ben he is not, and when we last heard Deerhunter on 2013’s , they’d acquired an aggressiveness that reflected Cox’s antagonism toward social complacency.Then, Cox was seriously injured after being hit by a car in late 2014. The incident gave him some perspective, and presaged Deerhunter’s return to a softer, psychedelic, unabashedly gorgeous sound. Call it the cosmic Americana: ’s influences are hook-heavy, radio-friendly rock acts like Tom Petty and R.E.M., as refracted through the prism of Deerhunter’s weirdness. It sounds like light emitting from the stars, framing Cox’s preoccupation with mortality—a recurring theme for the band, but now contextualized by a literal bodily threat. He worries about going to the old folks’ home, and asks how to conquer the the fear that consumes his day-to-day. ""I’ve spent all of my time chasing the fading frontier,"" he sings, afraid of giving up after coming so far. On that song, he chants ""I’m living my life"" over and over, like a man hypnotized into a routine.But all that heightened sensitivity doesn’t mean Deerhunter’s lost its nerve. ""Snakeskin"" is one of the friskiest songs they’ve ever written; its first lines, ""I was born already nailed to the cross/ I was born with a feeling I was lost,"" could open one of Faulkner’s Southern gothics. They still sound like Deerhunter, basically—older, and a little worse for the wear, but on their feet. They feel the black shroud at all moments, but they’re finding a way to live. That’s something to be monomaniacal about. —Jeremy Gordon"
29,Rae Sremmurd,SremmLife,Interscope / Ear Drummer,Staff Lists: The 50 Best Albums of 2015,"Amidst a year of protests across American cities and college campuses, you may have noticed the unexpected persistence of a little song called . Logic would dictate that the lead single from Fast Life Yungstaz’ only album, 2009’s , should not have made it this far: history hasn’t been especially kind to the swag-rap era, and F.L.Y. almost immediately faded into obscurity, jewel-toned polos and all. Yet there was the triumphant black student body of the University of Missouri,  to celebrate successful protests against campus racism. A silly song, maybe, but one that brought light!It’s too soon to say for sure, but I wouldn’t be surprised if a similar fate befell the brothers Sremm, who dropped the year’s most exuberant, hit-heavy rap album in the first week of January so that everyone else could spend the rest of the year geting esoteric and emo. The duo’s sound is darker than F.L.Y.’s, but they share a distinct  ethos: a pious devotion to partying, dumb jokes, casual (protected!) sex, and everything else great about being a young adult with newfound disposable income.  was a burst of minimalist stadium-trap, ecstatic -core EDM, and giddy strip club joints with secret Jeremih bridges. It single-handedly sustained Mike WiLL Made-It’s relevance and made grumpy dad Kanye . It was the album everyone in Atlanta was too depressed or sedated to make. Music like this renders the concept of the ""novelty song"" meaningless: its weightlessness is its purpose. —Meaghan Garvey
"
28,Beach House,Depression Cherry,Bella Union / Mistletone / Sub Pop,Staff Lists: The 50 Best Albums of 2015,"Beach House’s fifth collection, , often sounds like nothing they’ve done before. There’s hazed-out synth noise and rattling electronic drums backing gently warped harmonies, a fragile ballad featuring an eight-person community college choir, distorted guitar psychedelics, percussion that comes off like a woodpecker or a clock attacking a metronome. Victoria Legrand and Alex Scally take bits that would normally function as quick introductory snippets and let them overflow and guide entire compositions: shots of noise that, in the past, might float somberly in the background now swallow an entire song. Conversely, they're not afraid to loop Legrand's crystalline vocals or bury them in fuzz.The record feels intimate: two people outside of their comfort zone with just four hands to piece it all together. It hearkens to their first couple of pre-Sub Pop records, but with the skills they picked up and displayed on career pinnacles,  and . Even with the return of Chris Coady as co-producer, it’s not as ""perfect"" as those albums, but the scars make it all the more beautiful. —Brandon Stosuy"
27,Sleater-Kinney,No Cities to Love,Sub Pop,Staff Lists: The 50 Best Albums of 2015,"Sleater-Kinney returned with a  about exhuming your idols, and their comeback album hit like a fist through a grave. The reformed Portland trio were hungry, and they knew that we had been starved of a successor. Corin Tucker, Carrie Brownstein, and Janet Weiss rekindled their unique language and taunted us with it, crafting jut-jawed cadences that were often impossible to sing along to. They tainted their eighth record's wall-to-wall firebrand choruses with their signature drop-tuning, which hardened their agitated declarations against softening to easy slogans. It couldn't have been anyone else, but it didn't sound like anything they had made before. Even now, 11 months after its release, it still sounds jarring, corroded and full of fight. finds Sleater-Kinney pile-driving through corrupt power and fear, through the enablers of mediocrity. It's a timeless record about a marginalized struggle—a song like ""Fangless"", about the impotence of patriarchy, will never go out of style—though its nuanced take on liberation is novel. Sleater-Kinney may fight back and celebrate togetherness, but they also illuminate the ongoing battles inherent in sustaining pleasure: the way love can become ""a ritual of emptiness,"" the loneliness of ""the shout of a room."" ' best line was its simplest. It comes at the end of gruff Go-Go's romp ""A New Wave"", when Brownstein moans, ""I can be, I can be, I can be-e-e."" That swaggering openness to unlimited possibility was what made Sleater-Kinney's comeback so potent. They returned to see what they would become, rather than to rehash what they had been. —Laura Snapes
"
26,Deafheaven,New Bermuda,Anti-,Staff Lists: The 50 Best Albums of 2015,"’s five songs are howled tales of sickness and health, alternating stories of lost ambition with frantic fever dreams. The gut-wrenching noise that spills forth from lead singer's George Clarke’s throat transcends its tone of shrieking menace, his lines filled with unsettlingly beautiful imagery: man’s passion being carried off ""by some lonely driver in a line of fluorescent light,"" humanity’s ""ugliness stretching toward the chandelier."" But Deafheaven don't just rattle off romanticist tropes, and the narrative power of  has a strength that’s independent of its lyrics. They illustrate and expound upon the words with huge shifts in dynamic range, from the sublime crescendoes at the heart of ""Luna"" or cross-genre experiments like the post-rock meeting gritty thrash on ""Baby Blue"". The result is a crushing, concise, and unexpectedly celebratory journey, the sweet, molten earth to ’s ghostly air. —Zoe Camp
"
25,Earl Sweatshirt,"I Don't Like Shit, I Don't Go Outside",Columbia / Tan Cressida,Staff Lists: The 50 Best Albums of 2015,"On , the lead single from , Earl Sweatshirt proudly confesses, ""I ain't been outside in a minute/ I been living what I wrote."" That sentiment does not apply to his previous work: his violent and fantastical debut mixtape , and 2013's , a playground of wordplay with a wide range of beats. It was a foreshadowing for the album that was to come, one that finds Earl more focused than he's ever been as a lyricist, songwriter, and producer.In his own words, Earl is ""grown."" For him, being an adult means he takes responsibility for his actions (""Trying to pay my momma rent, figured that's just what I owe her""), guards himself from outsiders (""I only trust these bitches 'bout as far as I can throw 'em""), and maintains a thorough work ethic (""My days numbered/ I'm focused heavy on making the most of 'em""). In addition to what he's saying, Earl's also condensed how he's saying it. He still has the ability to spin dizzying internal and end rhymes, but instead chooses to emphasize diction, clarity, and pacing to truly emphasize the gravity of his words.  captures a particular moment and specific murky, grated sound, in which it revels for only about 30 minutes.  is a just brief foray into Earl's psyche, but it might be as long as he can handle someone else in his head. —Matthew Strauss"
24,Thundercat,The Beyond / Where the Giants Roam,Brainfeeder,Staff Lists: The 50 Best Albums of 2015,"Death is the scariest, most certain thing we’ll all ever face. As sure as you’re reading this, you will die, and you can only hope for a peaceful transition to the other side. Thundercat has been preoccupied with the topic for the past few years: 2013’s  was shaded by the death of his friend and collaborator, , and his work on Flying Lotus’  helped convey what the spirit might endure as the body passes away.But while FlyLo used frenetic psych-jazz to conceptualize death, Thundercat takes a reflective stance on , using improvised funk and R&B to mourn. On ""Hard Times"", Thundercat channels what the soul must feel when death takes hold. By the last song, ""Where the Giants Roam"", he’s at peace with the afterlife, even if the journey is unclear: ""Nothing in this world I know/ Can you tell me who you are?""  continued where left off, when the pain of dying fades and the darkness slowly sets in.Thundercat’s EP helped cement a great year for Lotus’ Brainfeeder label. Along with , the bassist appeared frequently on Kamasi Washington’s  and Kendrick Lamar’s , two landmark albums that celebrated blackness and kept jazz at the forefront. Thundercat was especially brave on , walking through a world many of us don’t want to acknowledge and making it sing. —Marcus J. Moore
"
23,Kurt Vile,b’lieve i’m goin down,Matador,Staff Lists: The 50 Best Albums of 2015,"On his , our journey to the center of the Kurt Vile is lubricated by production that's as warm and smooth as a slug of whiskey. Recorded mostly at night, partly in the desert, and buttressed by banjo and piano, it's a quiet, hold-you-close record that goes easy on the effects, and values presence above all else. Incongruously, it's also fueled by jokes. Vile has always been sly, but here, as often as not, he's a real knee-slapper, whether it's his headache ""like a shop vac coughin' dust bunnies"" or a lyrical cameo from the Stay Puft Marshmallow Man—and that in the album’s emotional center of gravity, too: ""That's Life, tho (almost hate to say)"", a bittersweet bout of philosophizing that doubles as a eulogy. His acid sense of humor lies just beneath the surface of his idiosyncratic tone—a drawl that shifts between Leonard Cohen and Joey Ramone and Bob Dylan and Black Francis—and it surfaces unexpectedly in his odd stresses and enjambments, his quixotic determination to squeeze any thought into the space of a bar, to hell with the rhythmic feet.""Hopefully I just get a little more fine-tuned and a little more real and vulnerable all the time,"" Vile told the , trying to pinpoint what was different with this album. Which brings us to ""Wild Imagination"" and one of the best lines on the whole record: ""I'm afraid that I am feeling much too many feelings simultaneously, at such a rapid clip."" It's the game face he wears when feeling those feelings, and staring down that fear, that makes  such a delight. —Philip Sherburne"
22,Panda Bear,Panda Bear Meets the Grim Reaper,Domino,Staff Lists: The 50 Best Albums of 2015,"Years ago, a friend and I half-jokingly came up with a genre to describe how Noah Lennox always sounded like he was singing while stuck down a very deep well: cavewave. In 2015, it doesn’t seem like Lennox ever emerged from the underground. His music as Panda Bear is hallucinatory and slippery, always on the verge of dissolving into shadow while still managing to keep a firm foot on the ground. He doesn’t literally come face-to-face with Death on , but the album hides his increasingly adult concerns—fatherhood, middle age, his dog—within all that melodic weirdness. On its most haunting track, ""Tropic of Cancer"", he sings about watching his father submit to brain cancer, a harp looping against what sounds like wind blowing through the trees. Lennox, whose koan-like observations have never suffered from obfuscation, beautifully sums up how the death of a close one sections off a life we knew: ""You can’t come back to it.""The shortest song on the album takes its name from , a video game about a young man who navigates a mysterious land in search of nameless monsters. The protagonist’s name is Wander, fittingly, because you’ll walk and walk and walk, exploring your surroundings with no destination in sight. It’s how I see Lennox: an explorer moving through the fog, bumping into life’s overwhelming realities and finding a way to meet the challenge. —Jeremy Gordon


"
21,Donnie Trumpet & the Social Experiment,Surf,self-released,Staff Lists: The 50 Best Albums of 2015,"The most important song on , the blindingly optimistic album that Chicago icon Chance the Rapper released this year with his crew instead of a proper solo follow up to , is called ""Wanna Be Cool"". That’s because the chorus is ""I don’t wanna be cool,"" repeated joyously and relentlessly, and the rest of  drives this point home with the zeal of an anti-drug a cappella group invading your fifth-grade lunchroom.Consider: Chance made this album with a guy who goes by the name ""Donnie Trumpet,"" which wouldn’t even be a cool sobriquet among marching-band geeks. He invited goofballs like Big Sean to do fake-Lyricist Lounge raps on it (""My older bro was on the honor roll/ And the other one was always up in front of the honor, so/ I’m in the middle like the lining of divide signs"") and got current-day Busta Rhymes to sound  (on ""Slip Slide""). He snagged the funniest verse King Louie spit all year (""If your bitch from Paris, then Paris is terrible"") and put it on a pop song that sounds like a circa-'99 Sugar Ray single. The album makes your cheeks hurt; it feels like doing the chicken dance at your cousin’s wedding.This energy is Chance the Rapper’s gift to the universe, the superpower he brings to rap. ""Don’t you look up to me...if you learn one thing today,"" he chides tenderly. The album has the aura of the kind of big brother you fantasize about even if you have a big brother: wise, funny, concerned, engaged, no-bullshit, authoritative but equal. And it is so committed and nuanced, even with all of this sunshine, that it reminds you that joy is an emotion with millions of gradations, a feeling you can soak in, nurse, and cultivate the same way you might do with melancholy. —Jayson Greene
"
30,Iceage,Plowing Into the Field of Love,Matador,Staff Lists: The 50 Best Albums of 2014,"Elias Bender Rønnenfelt, Iceage’s 22-year-old vocalist, has the kind of voice—flustered, careening; part-growl, part-drunken drawl—that sounds as if it were conjured from somewhere deep in his small intestines. On the Danish band’s , a stunning collection of loose, rollicking punk jams, Rønnenfelt sings mostly about being extraordinarily angry: ""I don’t care whose house is on fire, as long as I can warm myself at the blaze,"" he announces in the somersaulting opener ""On My Fingers"". Rønnenfelt’s mania can be terrifying, but there’s beauty in his rage, too, like on the piano-addled ""Against the Moon"", in which he sounds defeated and morose, dragged along by a cluster of low, droning horns. What’s most important, though, is that Rønnenfelt’s not sorry, not even a little bit: ""Whatever I do, I do not repent,"" he shrugs. —Amanda Petrusich"
